Freq.	-V(n002)/I(R3)
1.56314764264094e+003	(1.36795089683555e+002dB,-4.86404397405276e+001°)
1.56675107010813e+003	(1.36783865218081e+002dB,-4.87063557002062e+001°)
1.57036280433354e+003	(1.36772618016704e+002dB,-4.87722542098220e+001°)
1.57398286446620e+003	(1.36761348092069e+002dB,-4.88381349351329e+001°)
1.57761126969933e+003	(1.36750055457049e+002dB,-4.89039975423952e+001°)
1.58124803927037e+003	(1.36738740124744e+002dB,-4.89698416983652e+001°)
1.58489319246110e+003	(1.36727402108482e+002dB,-4.90356670703082e+001°)
1.58854674859776e+003	(1.36716041421815e+002dB,-4.91014733260083e+001°)
1.59220872705115e+003	(1.36704658078522e+002dB,-4.91672601337781e+001°)
1.59587914723672e+003	(1.36693252092609e+002dB,-4.92330271624623e+001°)
1.59955802861465e+003	(1.36681823478303e+002dB,-4.92987740814514e+001°)
1.60324539069002e+003	(1.36670372250059e+002dB,-4.93645005606856e+001°)
1.60694125301286e+003	(1.36658898422551e+002dB,-4.94302062706662e+001°)
1.61064563517825e+003	(1.36647402010680e+002dB,-4.94958908824616e+001°)
1.61435855682647e+003	(1.36635883029565e+002dB,-4.95615540677140e+001°)
1.61808003764305e+003	(1.36624341494550e+002dB,-4.96271954986543e+001°)
1.62181009735891e+003	(1.36612777421198e+002dB,-4.96928148481004e+001°)
1.62554875575047e+003	(1.36601190825293e+002dB,-4.97584117894733e+001°)
1.62929603263970e+003	(1.36589581722837e+002dB,-4.98239859968010e+001°)
1.63305194789432e+003	(1.36577950130052e+002dB,-4.98895371447261e+001°)
1.63681652142779e+003	(1.36566296063378e+002dB,-4.99550649085173e+001°)
1.64058977319952e+003	(1.36554619539474e+002dB,-5.00205689640711e+001°)
1.64437172321491e+003	(1.36542920575212e+002dB,-5.00860489879282e+001°)
1.64816239152549e+003	(1.36531199187684e+002dB,-5.01515046572734e+001°)
1.65196179822900e+003	(1.36519455394195e+002dB,-5.02169356499465e+001°)
1.65576996346951e+003	(1.36507689212266e+002dB,-5.02823416444509e+001°)
1.65958690743754e+003	(1.36495900659631e+002dB,-5.03477223199587e+001°)
1.66341265037015e+003	(1.36484089754236e+002dB,-5.04130773563200e+001°)
1.66724721255104e+003	(1.36472256514243e+002dB,-5.04784064340731e+001°)
1.67109061431069e+003	(1.36460400958023e+002dB,-5.05437092344451e+001°)
1.67494287602642e+003	(1.36448523104158e+002dB,-5.06089854393653e+001°)
1.67880401812254e+003	(1.36436622971440e+002dB,-5.06742347314708e+001°)
1.68267406107045e+003	(1.36424700578873e+002dB,-5.07394567941142e+001°)
1.68655302538872e+003	(1.36412755945666e+002dB,-5.08046513113709e+001°)
1.69044093164324e+003	(1.36400789091239e+002dB,-5.08698179680435e+001°)
1.69433780044731e+003	(1.36388800035216e+002dB,-5.09349564496756e+001°)
1.69824365246172e+003	(1.36376788797430e+002dB,-5.10000664425522e+001°)
1.70215850839493e+003	(1.36364755397917e+002dB,-5.10651476337116e+001°)
1.70608238900310e+003	(1.36352699856920e+002dB,-5.11301997109475e+001°)
1.71001531509027e+003	(1.36340622194883e+002dB,-5.11952223628246e+001°)
1.71395730750840e+003	(1.36328522432457e+002dB,-5.12602152786765e+001°)
1.71790838715757e+003	(1.36316400590490e+002dB,-5.13251781486168e+001°)
1.72186857498598e+003	(1.36304256690035e+002dB,-5.13901106635480e+001°)
1.72583789199018e+003	(1.36292090752344e+002dB,-5.14550125151636e+001°)
1.72981635921508e+003	(1.36279902798869e+002dB,-5.15198833959590e+001°)
1.73380399775412e+003	(1.36267692851261e+002dB,-5.15847229992360e+001°)
1.73780082874935e+003	(1.36255460931367e+002dB,-5.16495310191112e+001°)
1.74180687339159e+003	(1.36243207061234e+002dB,-5.17143071505230e+001°)
1.74582215292048e+003	(1.36230931263102e+002dB,-5.17790510892337e+001°)
1.74984668862463e+003	(1.36218633559407e+002dB,-5.18437625318432e+001°)
1.75388050184174e+003	(1.36206313972782e+002dB,-5.19084411757909e+001°)
1.75792361395867e+003	(1.36193972526048e+002dB,-5.19730867193615e+001°)
1.76197604641161e+003	(1.36181609242224e+002dB,-5.20376988616969e+001°)
